Exec,Tempo,Code
448,1.3135254383087158,200
449,1.2879302501678467,200
450,1.4504740238189697,200
451,1.735253095626831,200
452,1.409606695175171,200
453,1.3727235794067383,200
454,1.274050235748291,200
455,1.2647900581359863,200
456,1.3443255424499512,200
457,1.456000804901123,200
458,1.615088939666748,200
459,1.6330444812774658,200
460,1.4196624755859375,200
461,1.3451159000396729,200
462,1.5930328369140625,200
463,2.374034881591797,200
464,3.0150742530822754,200
465,2.003929853439331,200
466,1.9846668243408203,200
467,1.9621262550354004,200
468,2.0653789043426514,200
469,1.9402806758880615,200
470,2.094250440597534,200
471,1.707934856414795,200
472,1.4263370037078857,200
473,1.6304113864898682,200
474,1.462982177734375,200
475,1.7480700016021729,200
476,1.6796386241912842,200
477,1.770869493484497,200
478,1.9944899082183838,200
479,1.545907974243164,200
480,1.6710638999938965,200
481,1.7089130878448486,200
482,1.7620866298675537,200
483,1.5929136276245117,200
484,1.6719563007354736,200
485,1.4740729331970215,200
486,1.507033348083496,200
487,1.6646311283111572,200
488,1.7136571407318115,200
489,1.624695062637329,200
490,1.6394333839416504,200
491,1.543607234954834,200
492,1.5907340049743652,200
493,1.4587695598602295,200
494,1.65553617477417,200
495,1.5750234127044678,200
496,1.44441819190979,200
497,1.495483636856079,200
498,1.7035093307495117,200
499,1.5435161590576172,200
500,1.629035234451294,200
